# maxrange N1 N2 finalcard time(s)
2314107 389343 1929127 726573 0.063262 
18865740 2708851 10329483 4934068 0.477948 
3309587 1541722 347288 2311508 0.172591 
3458793 2384531 2043516 3138152 0.216447 
10546620 3679094 8189911 6366223 0.538745 
17657371 6898013 12203225 11412393 0.927122 
14769883 354155 2695205 702379 0.095826 
17104697 2554737 12370156 4562347 0.475418 
1153674 432453 868919 716071 0.055567 
8785490 8762557 3840772 8785449 0.622304 
3615949 3266649 1334477 3598644 0.248556 
2481690 1261352 1024127 1840935 0.131933 
18307629 13487189 880369 16651396 1.205419 
1766422 921228 418308 1358891 0.098264 
12313043 5897977 12293867 8596264 0.624954 
2486766 46695 2238190 91768 0.007805 
15191653 5499995 4819607 8768160 0.703240 
4665220 1848797 2679964 2789637 0.219212 
14631287 2377951 6471239 4029600 0.479346 
18078721 1032958 4471292 2002810 0.305217 
16707205 8937437 8654623 12448904 0.948218 
16492728 5708801 10828250 8974626 0.757702 
6647227 4664049 280243 5977361 0.435044 
16139563 15341173 10674738 16088218 1.149978 
5277883 1220762 1666475 2213304 0.203320 
18128223 16079075 5261992 17935733 1.299521 
13355511 10498341 3059991 13044665 0.928089 
5632563 1656340 4527332 2907125 0.254468 
4251768 1653967 958198 2569053 0.212671 
2887660 1655588 907276 2466236 0.172452 
18141009 3864120 5834657 6832902 0.658585 
10574887 6611735 7448996 8948948 0.657686 
8794057 4914055 5010227 6787896 0.492665 
5321929 1308797 1205255 2318248 0.193166 
5631942 383476 3832072 735464 0.093681 
9544209 7618045 4034522 9115182 0.651101 
19952366 2784206 13632779 5166612 0.563564 
18101281 4806122 16227882 7866453 0.679654 
14869401 12869508 11515650 14607173 1.066103 
10273413 1699029 6490360 3188333 0.336819 
8414422 633964 5590527 1218780 0.165308 
11505661 10512074 8887255 11407968 0.805481 
12816071 6433580 9497621 9844949 0.705618 
18138000 9480320 16754000 13853044 0.990452 
3769942 782148 3609408 1397847 0.128716 
5830504 1003535 5726175 1863240 0.188542 
5975358 2870555 3572034 4463985 0.312497 
18179117 5503403 4601744 9320427 0.823380 
13521090 10245820 8287796 12746745 0.914273 
16750614 9278941 3187201 13190877 0.957854 
13918865 3862063 12285296 6770785 0.578592 
2176620 1164649 471083 1694256 0.121883 
18705400 9583032 15458386 13999542 1.061057 
6478004 870809 589334 1621337 0.188265 
15266356 7474683 14404998 10164675 0.755434 
9606368 3868887 4142345 6081578 0.472459 
6586128 331573 4692806 634767 0.076379 
18485374 4946180 1562247 8317495 0.764647 
4700010 2561451 3670005 3737850 0.264774 
1838989 743522 855418 1195126 0.097032 
7040926 5592196 591034 6788568 0.469227 
11700699 11602464 5976936 11700104 0.828326 
11189562 10786333 4252672 11175894 0.786768 
19643461 17583520 17816785 19394274 1.385240 
7426169 4501455 1938402 6347555 0.442501 
17032538 4284006 2673269 7549974 0.682657 
16135018 9251120 14431371 12781712 0.922803 
14620392 7318152 6544230 11247974 0.823747 
11836754 3236667 10932901 5531470 0.498801 
13675743 10205642 5262718 12751074 0.929015 
13233021 357931 5183428 706824 0.098719 
4933720 4080390 3332180 4719545 0.337180 
8639634 4063115 326447 6317457 0.441960 
8681983 3339640 1003309 5451925 0.429716 
2648142 393016 40503 715813 0.073210 
19045063 13394890 10446264 17219274 1.234995 
12976554 2590134 8567620 4749909 0.506462 
4531492 3771038 822102 4391170 0.307559 
11900034 234353 10626526 465485 0.064807 
12629780 1252068 7875024 2188171 0.248396 
5862802 1724949 3216466 2979835 0.265638 
10796522 2375867 10392531 3761413 0.313630 
19436157 17489134 11996868 19243461 1.392656 
4438548 1098216 1511166 1840986 0.151402 
11251530 4194560 869139 6672930 0.573200 
15097051 9885656 5239905 14159714 0.995428 
15077589 5077961 7928723 7819210 0.654239 
2194872 224548 1506858 428485 0.038894 
8632557 7255176 7845306 8488498 0.597314 
1262337 1081645 1062022 1235060 0.087818 
7125139 4827578 6279340 6575576 0.460028 
10438014 716208 3696336 1368042 0.180123 
2390523 1059857 610699 1662632 0.118251 
